ad_ed	reporting	candidate|Linda Lee	candidate|Debra Markell	candidate|Sanjeev Kumar Jindal	candidate|Jaslin Kaur	candidate|Koshy O. Thomas	candidate|Harpreet S. Toor	candidate|Steve Behar	candidate|Write-In	total
24-001	99.00%	29	14	3	22	2	1	9	0	80
24-002	99.00%	30	33	19	59	14	13	20	0	188
24-003	99.00%	27	28	5	43	10	2	17	0	132
24-004	99.00%	28	13	9	27	9	2	15	1	104
24-005	50.00%	6	2	8	8	6	4	3	0	37
24-006	50.00%	1	0	10	16	3	5	0	0	35
24-007	50.00%	6	2	5	15	2	21	1	0	52
24-008	99.00%	12	3	6	15	0	0	4	0	40
24-009	99.00%	1	0	0	1	2	1	0	0	5
24-010	99.00%	6	4	12	21	11	13	4	0	71
24-011	99.00%	23	4	13	56	9	10	4	1	120
24-012	99.00%	6	0	2	0	0	1	3	0	12
24-013	99.00%	33	20	13	47	12	5	40	0	170
24-014	99.00%	26	8	27	34	6	3	18	0	122
24-015	99.00%	27	14	2	30	9	7	3	0	92
24-016	57.14%	11	0	2	2	0	0	0	0	15
24-017	85.71%	68	13	2	17	0	0	57	1	158
24-018	85.71%	39	12	4	17	1	2	38	1	114
24-019	57.14%	19	7	0	6	1	1	5	0	39
24-020	85.71%	69	26	8	18	0	2	31	1	155
24-021	85.71%	57	34	11	26	3	1	38	1	171
24-022	57.14%	11	5	1	4	0	0	8	0	29
24-023	85.71%	15	4	2	4	2	0	1	0	28
24-024	57.14%	18	2	1	13	2	0	6	1	43
24-025	57.14%	15	2	0	4	1	0	6	1	29
24-027	99.00%	41	37	16	42	11	4	43	0	194
24-028	99.00%	4	0	0	2	0	0	0	0	6
24-029	99.00%	42	28	11	81	5	0	25	0	192
24-030	99.00%	25	29	21	63	6	3	54	0	201
24-031	99.00%	3	1	0	4	0	0	0	0	8
24-032	99.00%	3	0	0	1	0	0	0	0	4
24-059	99.00%	19	10	12	14	9	4	10	1	79
24-061	99.00%	16	9	18	47	11	14	7	1	123
24-080	57.14%	0	0	0	0	0	0	0	0	0
24-083	57.14%	0	0	0	0	0	0	0	0	0
24-084	85.71%	51	20	2	34	2	0	29	0	138
24-089	57.14%	12	2	0	4	0	0	12	0	30
24-091	99.00%	15	6	3	5	4	0	8	0	41
25-016	42.86%	0	0	0	0	0	0	0	0	0
25-017	42.86%	5	0	0	4	0	0	1	1	11
25-018	42.86%	3	0	0	3	1	0	1	0	8
25-019	42.86%	9	0	0	1	1	0	3	0	14
25-020	42.86%	3	0	0	5	0	0	3	0	11
25-021	99.00%	9	4	0	0	0	0	3	0	16
25-022	99.00%	16	2	1	4	0	0	3	0	26
25-023	99.00%	40	3	1	8	0	2	10	0	64
25-024	99.00%	44	2	0	4	2	0	7	0	59
25-025	99.00%	52	17	5	16	2	3	7	0	102
25-026	99.00%	1	0	0	0	0	0	1	0	2
25-027	99.00%	51	7	2	4	3	1	19	1	88
25-028	99.00%	70	8	3	18	0	0	15	0	114
